feature,pre_spike_mean,pre_no_spike_mean,ratio
high_regime_duration,0.5502958579881657,0.11952662721893491,4.6039603960396045
is_high_regime,0.09467455621301775,0.02485207100591716,3.8095238095238098
rv_change_4h,0.4989829649443531,0.14995383094210613,3.3275773070245833
rv_change_1h,0.28948084958675635,0.11666564925251473,2.481286063562678
volume_ratio_7d,2.6567913122099283,1.5473561892321601,1.7169875499243001
is_low_regime,0.1301775147928994,0.09230769230769231,1.4102564102564101
rv_3bar_current,0.0019834811474282775,0.0014661222083814762,1.3528757262451805
rv_12bar_current,0.004232335565797296,0.0031900540524556383,1.3267284805219308
rv_percentile_30d,0.45971261803399743,0.3568393265807303,1.2882902297765473
is_ny_session,0.4260355029585799,0.3585798816568047,1.1881188118811883
abs_return_4h,0.006566693860904904,0.005543022021947404,1.1846775702684036
abs_return_1h,0.0031653882768600144,0.002743024475574388,1.1539774088954067
low_regime_duration,1.272189349112426,1.1112426035502958,1.1448349307774228
hour,12.248520710059172,11.250887573964498,1.0886715052066898
funding_zscore,-0.29458975837720114,-0.2829733834915509,1.041051121990055
range_4h,0.012993919467110959,0.012525653224167578,1.0373845766414709
volume_acceleration,1.3569357524192012,1.3439969611641882,1.0096270985938876
oi_abs_change_4h,0.013130867018069592,0.014810863683521974,0.8865699731392785
funding_abs_zscore,0.7728031881683721,0.8897096960654003,0.8686015130395581
is_asia_session,0.25443786982248523,0.40710059171597635,0.625
rv_zscore_24h,0.2748929225382749,-0.13923154642697097,-1.9743580358956967
oi_change_4h,0.0023881712658868673,-0.0002559664913115846,-9.330015243986676
oi_change_1h,0.0009105998136188417,-6.737654483513274e-05,-13.515086234342187
rv_acceleration,-0.0001017837709920976,1.5831631949411604e-06,-64.29139542741864
term_slope,,,
term_inverted,0.0,0.0,
